tree,SPR_dist,order,dist_type,dist_value
3,20,6,HOP,37
3,25,6,HOP,47
3,30,6,HOP,53
3,35,6,HOP,55
3,40,6,HOP,60
3,45,6,HOP,62
3,50,6,HOP,68
3,55,6,HOP,67
3,60,6,HOP,70
3,65,6,HOP,72
3,70,6,HOP,72
3,75,6,HOP,75
3,80,6,HOP,78
3,85,6,HOP,80
3,90,6,HOP,80
3,95,6,HOP,83
3,100,6,HOP,84
3,5,7,HOP,13
3,10,7,HOP,27
3,15,7,HOP,32
3,20,7,HOP,41
3,25,7,HOP,43
3,30,7,HOP,53
3,35,7,HOP,55
3,40,7,HOP,55
3,45,7,HOP,59
3,50,7,HOP,67
3,55,7,HOP,71
3,60,7,HOP,70
3,65,7,HOP,70
3,70,7,HOP,71
3,75,7,HOP,74
3,80,7,HOP,78
3,85,7,HOP,80
3,90,7,HOP,80
3,95,7,HOP,83
3,100,7,HOP,83
3,5,8,HOP,14
3,10,8,HOP,21
3,15,8,HOP,27
3,20,8,HOP,38
3,25,8,HOP,47
3,30,8,HOP,47
3,35,8,HOP,55
3,40,8,HOP,61
3,45,8,HOP,63
3,50,8,HOP,68
3,55,8,HOP,71
3,60,8,HOP,71
3,65,8,HOP,74
3,70,8,HOP,74
3,75,8,HOP,78
3,80,8,HOP,80
3,85,8,HOP,82
3,90,8,HOP,82
3,95,8,HOP,83
3,100,8,HOP,85
3,5,9,HOP,14
3,10,9,HOP,18
3,15,9,HOP,28
3,20,9,HOP,40
3,25,9,HOP,49
3,30,9,HOP,51
3,35,9,HOP,59
3,40,9,HOP,65
3,45,9,HOP,69
3,50,9,HOP,72
3,55,9,HOP,76
3,60,9,HOP,77
3,65,9,HOP,82
3,70,9,HOP,81
3,75,9,HOP,83
3,80,9,HOP,84
3,85,9,HOP,86
3,90,9,HOP,86
3,95,9,HOP,89
3,100,9,HOP,87
3,5,10,HOP,16
3,10,10,HOP,29
3,15,10,HOP,38
3,20,10,HOP,44
3,25,10,HOP,49
3,30,10,HOP,50
3,35,10,HOP,51
3,40,10,HOP,56
3,45,10,HOP,58
3,50,10,HOP,61
3,55,10,HOP,63
3,60,10,HOP,64
3,65,10,HOP,66
3,70,10,HOP,67
3,75,10,HOP,71
3,80,10,HOP,73
3,85,10,HOP,75
3,90,10,HOP,74
3,95,10,HOP,78
3,100,10,HOP,80
4,5,1,RF,58
4,10,1,RF,96
4,15,1,RF,102
4,20,1,RF,122
4,25,1,RF,130
4,30,1,RF,154
4,35,1,RF,160
4,40,1,RF,162
4,45,1,RF,164
4,50,1,RF,174
4,55,1,RF,174
4,60,1,RF,178
4,65,1,RF,180
4,70,1,RF,182
4,75,1,RF,182
4,80,1,RF,184
4,85,1,RF,186
4,90,1,RF,182
4,95,1,RF,184
4,100,1,RF,188
4,5,1,HOP,16
4,10,1,HOP,31
4,15,1,HOP,37
4,20,1,HOP,48
4,25,1,HOP,60
4,30,1,HOP,72
4,35,1,HOP,74
4,40,1,HOP,74
4,45,1,HOP,74
4,50,1,HOP,78
4,55,1,HOP,79
4,60,1,HOP,80
4,65,1,HOP,81
4,70,1,HOP,80
4,75,1,HOP,82
4,80,1,HOP,85
4,85,1,HOP,85
4,90,1,HOP,84
4,95,1,HOP,88
4,100,1,HOP,90
4,5,2,HOP,14
4,10,2,HOP,34
4,15,2,HOP,38
4,20,2,HOP,47
4,25,2,HOP,53
4,30,2,HOP,56
4,35,2,HOP,66
4,40,2,HOP,68
4,45,2,HOP,70
4,50,2,HOP,76
4,55,2,HOP,76
