#order t84,t29,t13,t22,t93,t28,t48,t33,t45,t21,t31,t17,t73,t87,t83,t94,t64,t60,t51,t34,t10,t1,t43,t59,t26,t15,t58,t99,t24,t42,t85,t39,t72,t53,t40,t35,t78,t79,t88,t14,t97,t6,t95,t52,t41,t37,t46,t49,t3,t86,t65,t7,t54,t50,t44,t56,t27,t67,t20,t68,t16,t19,t36,t2,t63,t98,t76,t55,t69,t89,t96,t11,t57,t74,t61,t32,t47,t62,t66,t8,t9,t18,t80,t75,t70,t5,t71,t90,t100,t92,t77,t4,t91,t12,t30,t38,t81,t82,t25,t23
#tree,neighbourhood_size
418,12574
419,12838
420,12686
421,12553
422,12487
423,12568
424,12576
425,12658
426,12702
427,12591
428,12558
429,12897
430,12001
431,12708
432,12656
433,12705
434,12501
435,12433
436,12842
437,12836
438,12520
439,12496
440,12527
441,12649
442,12676
443,12942
444,12499
445,12691
446,12985
447,12819
448,12722
449,12577
450,12580
451,12727
452,12661
453,12825
454,12715
455,12634
456,12827
457,12663
458,12724
459,12650
460,12793
461,12918
462,12487
463,12689
464,12553
465,12764
466,12670
467,12429
468,12671
469,12377
470,12552
471,12731
472,12683
473,12802
474,12508
475,12743
476,12458
477,12402
478,12553
479,12670
480,12623
481,12930
482,12865
483,12876
484,12517
485,12517
486,12781
487,12790
488,12408
489,12371
490,12774
491,12677
492,12551
493,12528
494,12552
495,12794
496,12839
497,12529
498,12670
499,12826
500,12265
501,12691
502,12405
503,12423
504,12588
505,12399
506,12536
507,12434
508,12683
509,12829
510,12626
511,12549
512,12589
513,12547
514,13237
515,12388
516,12580
517,12924
518,12823
519,12614
520,12503
521,12677
522,12918
523,12649
524,12617
525,12511
526,12627
527,12557
528,12488
529,12593
530,12706
531,12587
532,12450
533,12636
534,12735
535,12742
536,12813
537,12546
538,12475
539,12908
540,12774
541,12854
542,12844
543,12748
544,12526
545,13000
546,12822
547,12733
548,12737
549,12621
550,12413
551,12610
552,12513
553,12559
554,12849
555,12564
556,12648
557,12538
558,13004
559,12555
560,12723
561,12605
562,12462
563,12686
564,12708
565,12750
566,12773
567,12788
568,12894
569,12690
570,12712
571,12713
572,12670
573,12856
574,12861
575,12442
576,12708
577,12716
578,12430
579,12805
580,12844
581,12677
582,12233
583,12702
584,12865
585,12216
586,12315
587,12851
588,12540
589,12572
590,12400
591,12532
592,12749
593,12562
594,12796
595,12808
596,12885
597,12880
598,13094
599,12860
600,12789
601,12212
602,12824
603,12895
604,12602
605,12646
606,12757
607,12767
608,12529
609,12661
610,12511
611,12829
612,12678
613,12632
614,12576
615,12425
616,12694
617,12973
618,12763
619,12608
620,12922
621,12662
622,12856
623,12748
624,12546
625,12762
626,12551
627,12611
628,12528
629,12666
630,12839
631,12669
632,12637
633,12778
634,12568
635,12388
636,12983
637,12823
638,12696
639,12566
640,12298
641,12640
642,12817
643,12842
644,12678
645,12976
646,12752
647,12636
648,12667
649,12860
650,12778
651,12529
652,12540
653,12515
654,12709
655,12554
656,12594
657,12798
658,12728
659,12613
660,12668
661,12732
662,12639
663,12854
664,12754
665,12670
666,12577
667,12762
668,12613
669,12653
670,12554
671,12650
672,12530
673,12932
674,12466
675,12729
676,12949
677,12834
678,13055
679,12619
680,12322
681,12723
682,12587
683,12797
684,12425
685,12809
686,12690
687,12640
688,12712
689,12583
690,12268
691,12601
692,12752
693,12624
694,12567
695,12522
696,12789
697,12466
698,12768
699,12494
700,12436
701,12511
702,12894
703,12599
704,12854
705,12476
706,12531
707,12810
708,12856
709,12791
710,12614
711,12436
712,12907
713,12472
714,12522
715,12554
716,12765
717,12801
718,12618
719,12702
720,13027
721,12602
722,12670
723,12583
724,12989
725,12587
726,12530
727,12616
728,12500
729,12836
730,12956
731,12517
732,12690
733,12819
734,12608
735,12825
736,12607
737,12796
738,12918
739,12787
740,12899
741,12635
742,12580
743,12398
744,12779
745,12788
746,12622
747,12688
748,12744
749,12625
750,12393
751,12545
752,12772
753,13005
754,12605
755,12655
756,12857
757,12893
758,12687
759,12866
760,12720
761,12681
762,12694
763,12766
764,12553
765,12665
766,12676
767,12487
768,12741
769,12559
770,12512
771,12498
772,12472
773,12791
774,12452
775,12891
776,12512
777,12456
778,12810
779,12699
780,12542
781,12747
782,12779
783,12313
784,12884
785,13007
786,12822
787,12854
788,12704
789,12697
790,12649
791,12738
792,12700
793,12793
794,12759
795,12685
796,12695
797,12829
798,12571
799,12632
800,12532
801,12533
802,12944
803,12550
804,12502
805,12844
806,12784
807,12533
808,12418
809,12736
810,12636
811,12626
812,12539
813,12540
814,12781
815,12787
816,12725
817,12877
818,12689
819,12811
820,12659
821,12516
822,12393
823,12498
824,12606
825,12552
826,12613
827,12838
828,12462
829,12866
830,12912
831,12676
832,12531
833,12693
834,12235
835,12557
836,12884
837,12682
838,12606
839,13006
840,12745
841,12823
842,12716
843,12901
844,12899
845,12565
846,12898
847,12732
848,12734
849,12748
850,12529
851,12746
852,12760
853,12846
854,12907
855,12455
856,12737
857,12581
858,12416
859,12873
860,12647
861,12687
862,12617
863,12779
864,12536
865,12920
866,12663
867,12471
868,12379
869,12613
870,12949
871,12612
872,12823
873,12794
874,12526
875,12779
876,12782
877,12920
878,12868
879,12567
880,12675
881,12603
882,12539
883,12518
884,12791
885,12524
886,12615
887,12643
888,12892
889,12392
890,12840
891,12536
892,12438
893,12725
894,12376
895,12739
896,12494
897,12438
898,12671
899,12486
900,12434
901,12579
902,12634
903,12633
904,12863
905,12554
906,12689
907,12736
908,12919
909,12680
910,12644
911,12663
912,12767
913,12484
914,12773
915,12527
916,12719
917,12650
918,12837
919,12672
920,12590
921,12584
922,12423
923,12670
924,12870
925,12783
926,12889
927,12408
928,12651
929,12863
930,12697
931,12714
932,12539
933,12723
934,12298
935,12889
936,12366
937,12638
938,12446
939,12570
940,12670
941,12433
942,12763
943,12599
944,12927
945,12668
946,12669
947,12677
948,12615
949,12358
950,12615
951,12607
952,12687
953,12524
954,12768
955,12791
956,12626
957,12426
958,12728
959,12547
960,12535
961,12620
962,12527
963,12736
964,12748
965,12736
966,12801
967,12805
968,12427
969,12908
970,12865
971,12822
972,12929
973,12763
974,12609
975,12264
976,12908
977,12826
978,12635
979,12732
980,12627
981,12779
982,12676
983,12461
984,12939
985,12811
986,12675
987,12520
988,12562
989,12560
990,12791
991,12630
992,12574
993,12535
994,12708
995,12490
996,12947
997,12670
998,12606
999,12619
1000,12505
